datetime,open,high,low,close,volume
2025-07-04 00:00:00,663.58,664.17,650.21,653.6,89027.412
2025-07-05 00:00:00,653.6,656.75,652.0,656.16,51648.289
2025-07-06 00:00:00,656.17,664.99,653.54,663.13,82399.119
2025-07-07 00:00:00,663.13,663.5,656.77,661.06,83232.984
2025-07-08 00:00:00,661.06,662.6,657.36,660.63,86374.042
2025-07-09 00:00:00,660.63,671.5,659.05,668.68,123551.595
2025-07-10 00:00:00,668.69,687.7,667.25,685.8,214967.536
2025-07-11 00:00:00,685.8,697.24,682.83,689.99,268353.904
2025-07-12 00:00:00,689.98,697.0,679.63,685.86,134785.185
2025-07-13 00:00:00,685.86,694.12,685.12,692.0,84925.723
2025-07-14 00:00:00,692.01,707.54,686.05,689.12,253634.996
2025-07-15 00:00:00,689.13,693.21,675.3,689.92,188962.491
2025-07-16 00:00:00,689.93,715.56,685.2,708.61,238334.938
2025-07-17 00:00:00,708.61,727.85,706.14,720.65,409572.675
2025-07-18 00:00:00,720.64,765.56,718.73,729.92,556430.085
2025-07-19 00:00:00,729.92,742.5,718.76,733.2,188095.81
2025-07-20 00:00:00,733.2,761.29,731.5,756.82,253255.203
2025-07-21 00:00:00,756.82,781.99,746.06,766.22,338419.952
2025-07-22 00:00:00,766.22,788.35,745.0,786.68,359074.056
2025-07-23 00:00:00,786.69,809.84,752.47,776.74,709087.1566
2025-07-24 00:00:00,776.74,786.16,742.62,770.74,363436.737
2025-07-25 00:00:00,770.74,786.0,752.22,785.45,284068.121
2025-07-26 00:00:00,785.44,798.0,778.28,793.29,128764.391
2025-07-27 00:00:00,793.3,847.12,791.04,844.0,397296.2555
2025-07-28 00:00:00,844.0,861.1,820.64,824.07,517734.6912
2025-07-29 00:00:00,824.07,835.06,800.12,805.1,427366.132
2025-07-30 00:00:00,805.11,811.64,766.21,793.51,369598.736
2025-07-31 00:00:00,793.51,814.8,781.38,783.14,335026.145
2025-08-01 00:00:00,783.13,795.4,744.69,757.08,393831.558
2025-08-02 00:00:00,757.08,770.11,732.36,736.42,209282.992
2025-08-03 00:00:00,736.43,755.53,730.01,751.21,142700.965
2025-08-04 00:00:00,751.21,770.0,750.47,768.63,171505.406
2025-08-05 00:00:00,768.62,769.79,745.11,755.13,179458.96
2025-08-06 00:00:00,755.13,774.84,746.26,769.55,163684.71
2025-08-07 00:00:00,769.55,788.68,764.17,788.67,188106.802
2025-08-08 00:00:00,788.67,798.5,780.74,793.5,195309.718
2025-08-09 00:00:00,793.5,819.44,792.81,798.83,202384.753
2025-08-10 00:00:00,798.83,815.5,793.68,807.22,162735.303
2025-08-11 00:00:00,807.22,827.59,792.0,805.09,316220.572
2025-08-12 00:00:00,805.09,839.9,797.73,832.47,268762.259
2025-08-13 00:00:00,832.48,858.89,828.23,848.01,395861.313
2025-08-14 00:00:00,848.02,869.4,820.6,840.42,592656.9793
2025-08-15 00:00:00,840.42,853.53,812.57,827.81,252091.108
2025-08-16 00:00:00,827.8,839.79,825.06,838.71,114512.1
2025-08-17 00:00:00,838.71,864.0,838.04,855.38,164953.856
2025-08-18 00:00:00,855.38,858.51,825.0,846.99,233741.603
2025-08-19 00:00:00,847.0,851.95,823.0,824.11,211802.026
2025-08-20 00:00:00,824.1,881.02,818.57,869.05,392159.8615
2025-08-21 00:00:00,869.05,883.86,833.46,839.49,277889.676
2025-08-22 00:00:00,839.49,900.71,839.23,900.21,430842.5317
2025-08-23 00:00:00,900.2,900.21,875.55,880.42,209279.872
2025-08-24 00:00:00,880.42,886.66,859.34,876.51,289492.317
2025-08-25 00:00:00,876.51,880.75,832.76,839.32,320570.155
2025-08-26 00:00:00,839.32,868.0,829.59,863.7,194882.089
2025-08-27 00:00:00,863.7,867.1,852.9,855.18,135243.457
2025-08-28 00:00:00,855.18,881.36,850.85,873.47,232414.922
2025-08-29 00:00:00,873.48,878.0,850.19,862.3,180524.219
2025-08-30 00:00:00,862.3,864.0,851.61,862.0,101039.981
2025-08-31 00:00:00,862.0,867.7,857.0,857.65,94241.193
2025-09-01 00:00:00,857.66,869.15,840.0,845.68,254185.715
2025-09-02 00:00:00,845.68,856.68,840.71,851.8,164333.169
2025-09-03 00:00:00,851.8,864.06,848.91,854.76,116453.022
2025-09-04 00:00:00,854.76,856.72,841.1,843.63,108195.902
2025-09-05 00:00:00,843.62,857.73,842.22,850.14,120856.951
2025-09-06 00:00:00,850.14,865.0,849.55,860.85,144234.054
2025-09-07 00:00:00,860.86,884.05,860.55,880.05,136538.058
2025-09-08 00:00:00,880.05,885.85,870.01,878.08,177574.781
2025-09-09 00:00:00,878.08,884.83,871.38,880.01,150610.03
2025-09-10 00:00:00,880.0,907.38,877.04,893.77,306830.178
2025-09-11 00:00:00,893.77,904.53,888.38,902.77,179913.182
