datetime,open,high,low,close,volume
2025-01-10 00:00:00,2.2722,2.3699,2.2465,2.3414,248018278
2025-01-11 00:00:00,2.3414,2.6036,2.3249,2.5764,349172496
2025-01-12 00:00:00,2.5764,2.5835,2.47,2.5046,222912333
2025-01-13 00:00:00,2.5045,2.5634,2.3297,2.5232,515356746
2025-01-14 00:00:00,2.5232,2.7,2.5126,2.6673,397227342
2025-01-15 00:00:00,2.6673,3.2,2.6492,3.1429,1062630122.23
2025-01-16 00:00:00,3.143,3.4,2.9228,3.2451,1110371222.2
2025-01-17 00:00:00,3.245,3.3544,3.1758,3.2922,529933494
2025-01-18 00:00:00,3.2923,3.2996,3.058,3.2697,458088944
2025-01-19 00:00:00,3.2697,3.2929,2.8277,2.9587,663328805
2025-01-20 00:00:00,2.9586,3.3695,2.909,3.1053,838761258
2025-01-21 00:00:00,3.1053,3.246,3.0124,3.1738,376423502
2025-01-22 00:00:00,3.1739,3.2854,3.1237,3.1803,291761274
2025-01-23 00:00:00,3.1802,3.1868,3.0374,3.1194,305314846
2025-01-24 00:00:00,3.1194,3.2031,3.055,3.1009,232626964
2025-01-25 00:00:00,3.1008,3.1446,3.0784,3.108,99489857
2025-01-26 00:00:00,3.1079,3.1443,3.0115,3.0223,128937813
2025-01-27 00:00:00,3.0222,3.0587,2.6559,3.0552,660056174
2025-01-28 00:00:00,3.0552,3.214,3.0062,3.0572,369470786
2025-01-29 00:00:00,3.0572,3.1363,2.9673,3.0683,254756655
2025-01-30 00:00:00,3.0683,3.1544,3.0466,3.1276,173143314
2025-01-31 00:00:00,3.1276,3.1333,3.003,3.0361,162235322
2025-02-01 00:00:00,3.0361,3.0727,2.8281,2.8778,173601404
2025-02-02 00:00:00,2.8779,2.9559,2.4603,2.58,684089012
2025-02-03 00:00:00,2.5801,2.7814,1.7711,2.7001,1866758972
2025-02-04 00:00:00,2.7,2.7874,2.4209,2.5274,621552965
2025-02-05 00:00:00,2.5275,2.5692,2.3384,2.381,338815093
2025-02-06 00:00:00,2.381,2.4699,2.2772,2.325,322896937
2025-02-07 00:00:00,2.3251,2.542,2.2655,2.3968,447487945
2025-02-08 00:00:00,2.3969,2.4372,2.3506,2.419,154717204
2025-02-09 00:00:00,2.419,2.5079,2.3113,2.3928,204205603
2025-02-10 00:00:00,2.3928,2.4733,2.3235,2.4237,207257933
2025-02-11 00:00:00,2.4238,2.529,2.3708,2.4131,248182176
2025-02-12 00:00:00,2.413,2.4962,2.3323,2.4734,227957636
2025-02-13 00:00:00,2.4734,2.6061,2.4154,2.5599,212478703
2025-02-14 00:00:00,2.56,2.8356,2.53,2.7384,407541122
2025-02-15 00:00:00,2.7384,2.8335,2.713,2.7619,184181907
2025-02-16 00:00:00,2.7619,2.8054,2.6879,2.7283,132387997
2025-02-17 00:00:00,2.7283,2.7648,2.6075,2.6599,212813356
2025-02-18 00:00:00,2.6599,2.6699,2.4693,2.5628,227170019
2025-02-19 00:00:00,2.5629,2.747,2.5121,2.7378,208222691
2025-02-20 00:00:00,2.7378,2.749,2.6671,2.6877,161213675
